class,ela_std,noise_level,exif_tags
real,1.5692617893218994,23.15770149230957,0
real,1.5810432434082031,45.48212432861328,0
real,1.0324783325195312,21.452756881713867,0
real,1.8976768255233765,34.857540130615234,0
real,1.1706560850143433,22.900663375854492,0
real,0.9969810247421265,10.470327377319336,0
real,1.254450798034668,22.569486618041992,0
real,1.3518848419189453,23.839366912841797,0
real,1.9070863723754883,17.50937271118164,0
real,1.7146432399749756,14.519972801208496,0
real,0.8905237913131714,18.183584213256836,0
real,1.4108853340148926,22.937606811523438,0
real,2.1912641525268555,36.986568450927734,0
real,2.792522430419922,67.13790893554688,0
real,1.3786462545394897,20.502031326293945,0
real,1.6765166521072388,27.410898208618164,0
real,2.609947443008423,66.24717712402344,0
real,1.1397048234939575,22.843448638916016,0
real,1.6608630418777466,28.208036422729492,0
real,1.4112865924835205,17.203289031982422,0
real,1.6571829319000244,27.056184768676758,0
real,1.2270164489746094,20.55778694152832,0
real,1.7990695238113403,36.731658935546875,0
real,1.4389755725860596,18.591312408447266,0
real,1.470611572265625,26.334489822387695,0
real,1.0805200338363647,10.405481338500977,0
real,1.7183890342712402,26.653547286987305,0
real,1.4723354578018188,45.69934844970703,0
real,0.6407085657119751,5.464532852172852,0
real,2.33923077583313,62.97106170654297,0
real,2.349687099456787,27.25667953491211,0
real,1.9854400157928467,40.261329650878906,0
real,1.8680020570755005,30.810396194458008,0
real,1.031042456626892,12.618668556213379,0
real,1.1924471855163574,23.093210220336914,0
real,1.8622055053710938,20.172597885131836,0
real,1.039673089981079,7.0996856689453125,0
real,1.0077365636825562,22.75798988342285,0
real,3.4533491134643555,46.31468200683594,0
real,1.887512445449829,13.750007629394531,0
real,2.108802556991577,104.2114028930664,0
real,1.025674819946289,31.145811080932617,0
real,2.0346932411193848,63.93608093261719,0
real,1.474104404449463,23.112640380859375,0
real,0.8518861532211304,11.979249954223633,0
real,1.6657739877700806,47.128273010253906,0
real,2.0742106437683105,45.565921783447266,0
real,1.750024676322937,35.764244079589844,0
real,2.0448718070983887,25.97637367248535,0
real,0.8993982076644897,10.710041999816895,0
real,2.169037342071533,20.874042510986328,0
real,1.1193209886550903,26.678464889526367,0
real,1.3163996934890747,32.64182662963867,0
real,0.9041269421577454,25.359106063842773,0
real,1.9504749774932861,50.671363830566406,0
real,1.3406463861465454,14.519636154174805,0
real,1.2655452489852905,30.921701431274414,0
real,1.6904420852661133,55.90950393676758,0
real,1.2162206172943115,35.4252815246582,0
real,2.0231094360351562,38.17316436767578,0
real,1.7215025424957275,45.184669494628906,0
real,1.0421720743179321,19.12752342224121,0
real,1.65849769115448,35.686038970947266,0
real,1.6619243621826172,27.117549896240234,0
real,1.592708945274353,52.06478500366211,0
real,1.291008472442627,41.7570686340332,0
real,1.0651683807373047,12.523811340332031,0
real,1.3672785758972168,32.66617965698242,0
real,1.1915507316589355,17.701480865478516,0
real,1.3124816417694092,46.476829528808594,0
real,0.7387576103210449,6.725364685058594,0
real,1.4342867136001587,38.653533935546875,0
real,1.4701405763626099,59.50307846069336,0
real,0.9614183306694031,23.18653678894043,0
real,2.512740135192871,29.0863094329834,0
real,0.8520094752311707,15.843124389648438,0
real,1.5339711904525757,23.83159637451172,0
real,2.0543935298919678,56.635555267333984,0
real,2.683577060699463,28.41241455078125,0
real,1.9340347051620483,41.956939697265625,0
real,1.2177693843841553,15.638652801513672,0
real,1.7116715908050537,31.540695190429688,0
real,1.0545700788497925,29.079206466674805,0
real,1.5514222383499146,40.88800048828125,0
real,2.786651611328125,23.096548080444336,0
real,2.2997653484344482,53.0006217956543,0
real,1.0346574783325195,8.886727333068848,0
real,1.418920874595642,16.103425979614258,0
real,1.2144290208816528,22.172943115234375,0
real,1.1570956707000732,13.07088851928711,0
real,1.8356389999389648,37.5659294128418,0
real,1.427532434463501,5.424657821655273,0
real,1.3868370056152344,18.385934829711914,0
real,2.5757720470428467,80.03976440429688,0
real,0.8962653279304504,6.793335437774658,0
real,0.9033156037330627,12.369266510009766,0
real,1.2620253562927246,40.925479888916016,0
real,1.1683919429779053,22.174156188964844,0
real,1.3523584604263306,11.207143783569336,0
real,0.777000367641449,16.390018463134766,0
ai,0.4357720613479614,19.011882781982422,0
ai,0.40873396396636963,35.07382583618164,0
ai,0.2438071221113205,11.701582908630371,0
ai,0.3797348439693451,8.530817985534668,0
ai,0.18818432092666626,10.823071479797363,0
ai,0.24644000828266144,48.09880065917969,0
ai,0.3523564636707306,9.881260871887207,0
ai,0.19655533134937286,14.59633731842041,0
ai,0.17144463956356049,12.457418441772461,0
ai,0.5718667507171631,14.951676368713379,0
ai,1.089257001876831,35.83159637451172,0
ai,1.1688491106033325,38.841148376464844,0
ai,0.7535580396652222,18.05684471130371,0
ai,0.6315146684646606,31.314315795898438,0
ai,0.5884617567062378,44.1257209777832,0
ai,0.41413289308547974,18.286056518554688,0
ai,0.8050171136856079,25.243806838989258,0
ai,0.11752429604530334,17.931970596313477,0
ai,0.21818342804908752,21.4643611907959,0
ai,0.3065662980079651,7.720312595367432,0
ai,0.6561435461044312,25.679468154907227,0
ai,0.27922362089157104,15.302939414978027,0
ai,0.7322810292243958,18.70586585998535,0
ai,0.15539777278900146,10.052906036376953,0
ai,0.3017168641090393,31.377660751342773,0
ai,0.5255170464515686,18.377155303955078,0
ai,0.1627032309770584,17.822479248046875,0
ai,0.8177514672279358,43.9619026184082,0
ai,0.3097800314426422,10.12028694152832,0
ai,0.20325584709644318,37.38528823852539,0
ai,0.47688278555870056,9.05202865600586,0
ai,0.7900384068489075,32.59595489501953,0
ai,0.3895416855812073,14.36624813079834,0
ai,0.14795838296413422,17.907245635986328,0
ai,1.0689589977264404,43.46363830566406,0
ai,0.3766281306743622,26.138912200927734,0
ai,0.6506825685501099,18.18394660949707,0
ai,0.655923068523407,19.15062713623047,0
ai,0.46322423219680786,25.723621368408203,0
ai,0.647354245185852,23.842430114746094,0
ai,0.24244117736816406,12.221858978271484,0
ai,2.059258460998535,33.724605560302734,0
ai,0.26534202694892883,11.149685859680176,0
ai,0.44800084829330444,36.575965881347656,0
ai,0.2584945857524872,6.802392959594727,0
ai,0.14826376736164093,10.943740844726562,0
ai,0.5803624391555786,23.037385940551758,0
